EvidenceID,Area,RibbonTab,CommandGroup,ToolOrButton,ToolType,DialogName,Shortcut,TransitionTrigger,StateChange,ObservedBehavior,SourceURL,Confidence,BeamLabMappingTarget,Notes
STAAD-GEO-001,Modeling,Geometry,Edit,Undo,Button,,Ctrl+Z,User clicks Undo,Reverts last supported operation,Negates last operation for supported geometry/property/spec operations,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,Parity to validate in BeamLab undo stack
STAAD-GEO-002,Modeling,Geometry,Edit,Redo,Button,,Ctrl+Y,User clicks Redo,Reapplies prior undone action,Negates last undo operation,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,Check for multi-step redo semantics
STAAD-GEO-003,Modeling,Geometry,Edit,Delete,Button,,Delete,Delete command on selected entities,Selected objects removed,Deletes selected object(s),https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,Verify entity-type coverage
STAAD-GEO-004,Modeling,Geometry,Clipboard,Cut,Button,,Ctrl+X,Cut command on selection,Objects removed + copied to clipboard,Cuts selected objects for later paste,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-005,Modeling,Geometry,Clipboard,Copy,Button,,Ctrl+C,Copy command on selection,Objects copied to clipboard,Stores selected objects for repeated pasting,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-006,Modeling,Geometry,Clipboard,Paste,Button,Paste with Move dialog,Ctrl+V,User clicks Paste,Opens placement dialog then inserts elements,Opens Paste with Move and supports repeated pasting from clipboard,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,Dialog parity checkpoint
STAAD-GEO-007,Modeling,Geometry,Grids,Beam Grid,MenuItem,Snap Node/Beam dialog,,Select Grids > Beam Grid,Grid/snap mode configured for beams/nodes,Creates members/nodes by snapping to grid points,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-008,Modeling,Geometry,Grids,Triangular Plate Grid,MenuItem,Snap Node/Plate dialog,,Select Grids > Triangular Plate Grid,Grid/snap mode configured for triangular plates,Creates plates/nodes by snap operations,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-009,Modeling,Geometry,Grids,Quad Plate Grid,MenuItem,Snap Node/Plate dialog,,Select Grids > Quad Plate Grid,Grid/snap mode configured for quad plates,Supports automatic quad plate creation by grid snapping,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-010,Modeling,Geometry,Grids,Solid Grid,MenuItem,Snap Node/Solid dialog,,Select Grids > Solid Grid,Grid/snap mode configured for solids,Creates solids/nodes by snapping to solid grid points,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-GEO-011,Modeling,Geometry,Generators,Structure Wizard,Button,Structure Wizard window,,User opens Structure Wizard,Wizard window overlays modeling flow,Parametric prototype structures can be generated and transferred into model,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,Potential high-value parity gap
STAAD-GEO-012,Modeling,Geometry,Transform,Translational Repeat,Button,Translational Repeat dialog,,User clicks Translational Repeat,Dialog opens + repeat copies generated along linear path,Replicates selected structure portions at defined intervals,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-013,Modeling,Geometry,Transform,Circular Repeat,Button,3D Circular dialog,,User clicks Circular Repeat,Dialog opens + repeat copies generated on circular path,Copies structural portions around specified circular path,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-014,Modeling,Geometry,Transform,Rotate,Button,Rotate dialog,,User clicks Rotate,Dialog opens + selection rotated/moved/copied,Rotates selected geometry about axis by angle,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-GEO-015,Modeling,Geometry,Transform,Mirror,Button,Mirror dialog,,User clicks Mirror,Dialog opens + mirrored copy/move operation,Mirrors selection about plane parallel to global coordinate planes,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_GEOMETRY_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
